iter	Logloss
0	0.6715090803
1	0.6399167635
2	0.6128697919
3	0.5796990251
4	0.5644665132
5	0.5516779469
6	0.5377705273
7	0.5160956225
8	0.5012440247
9	0.4856835993
10	0.4763475706
11	0.4678176471
12	0.4610859532
13	0.4499870587
14	0.4417676661
15	0.4346965208
16	0.4275742265
17	0.4203076985
18	0.4113156681
19	0.4018810651
20	0.3904087483
21	0.3850417058
22	0.3786056309
23	0.3750679911
24	0.370163199
25	0.3665491383
26	0.3628548599
27	0.355895418
28	0.3500656828
29	0.3458502685
30	0.3409008019
31	0.337395706
32	0.3347416277
33	0.3305929383
34	0.3264718567
35	0.3239269448
36	0.3203419411
37	0.3179139785
38	0.3129933029
39	0.3107797805
40	0.3090861126
41	0.3072716386
42	0.3053605395
43	0.3036874497
44	0.3011256765
45	0.2993270742
46	0.2964328205
47	0.2937356457
48	0.2913132368
49	0.2900735213
50	0.2881527773
51	0.2863689344
52	0.2845756449
53	0.2831179674
54	0.2810269804
55	0.2786745802
56	0.2764258613
57	0.2751629473
58	0.273829015
59	0.2723898938
60	0.2704242888
61	0.2682857257
62	0.267223434
63	0.2652036114
64	0.2639516555
65	0.2615921089
66	0.2578381332
67	0.255861162
68	0.2546701561
69	0.2534997835
70	0.2526707461
71	0.2513237525
72	0.2494745897
73	0.248103671
74	0.2471979724
75	0.2443197389
76	0.2424421528
77	0.2408361593
78	0.2400945225
79	0.2389340422
80	0.2375523624
81	0.2367726311
82	0.2356876797
83	0.2349771762
84	0.2339768203
85	0.2326218352
86	0.2319770616
87	0.2305893427
88	0.2300944595
89	0.2277990977
90	0.2269729465
91	0.2255366196
92	0.2246243771
93	0.2228761722
94	0.2219806202
95	0.2209213457
96	0.2203291499
97	0.2191717531
98	0.2179529878
99	0.2172092625
100	0.2165449022
101	0.2157973278
102	0.2148960225
103	0.2142433402
104	0.213312663
105	0.2118709796
106	0.2114141244
107	0.2104787607
108	0.2094562734
109	0.2086316659
110	0.2078627417
111	0.2071868198
112	0.2067572723
113	0.2059791426
114	0.2051710404
115	0.2038078464
116	0.2029748623
117	0.2021328203
118	0.2015154748
119	0.2005921504
120	0.1999768469
121	0.1993726086
122	0.1986444519
123	0.1971385128
124	0.1966318753
125	0.1960637302
126	0.1955252086
127	0.195061559
128	0.1943389656
129	0.1938791538
130	0.1930462659
131	0.1927875899
132	0.1919012627
133	0.1915305054
134	0.1907122715
135	0.1896417571
136	0.189224344
137	0.1887645199
138	0.1882795476
139	0.1874985669
140	0.1871066859
141	0.1864697838
142	0.1859179662
143	0.1856456972
144	0.1851876857
145	0.1849572386
146	0.1843916706
147	0.1841468987
148	0.1835463414
149	0.1827428043
150	0.1823931016
151	0.1819964819
152	0.1816955106
153	0.1813192677
154	0.1806761985
155	0.1798504545
156	0.1796424245
157	0.1791663163
158	0.1788084078
159	0.1784275818
160	0.1780367141
161	0.1775214527
162	0.177071229
163	0.1765751344
164	0.17618677
165	0.1758948977
166	0.1754392105
167	0.1751563485
168	0.1747753032
169	0.1743291038
170	0.1739818705
171	0.1735989582
172	0.1733106111
173	0.1729347249
174	0.1725227456
175	0.1721631615
176	0.1714590302
177	0.1711908463
178	0.170761709
179	0.1705183869
180	0.1702268159
181	0.1697451026
182	0.1691127725
183	0.1688478349
184	0.168527609
185	0.1681988543
186	0.1678342131
187	0.1674487483
188	0.1667876407
189	0.1662543282
190	0.1658768862
191	0.1656022467
192	0.1651120675
193	0.1647811445
194	0.1644992533
195	0.1642642563
196	0.1639398486
197	0.163411778
198	0.1630437989
199	0.1628347376
200	0.1624419715
201	0.162160352
202	0.1613577334
203	0.1611394947
204	0.1609229866
205	0.1605748935
206	0.1603418055
207	0.1601026627
208	0.1596850108
209	0.1593203574
210	0.1590397039
211	0.1587719232
212	0.1583830148
213	0.1582067448
214	0.1577339927
215	0.1574517126
216	0.1571636507
217	0.1569049531
218	0.156599605
219	0.1563533848
220	0.1560850054
221	0.1557034964
222	0.1555234498
223	0.1552784245
224	0.1550653909
225	0.1547311946
226	0.1539901308
227	0.153604826
228	0.1531788304
229	0.153038536
230	0.1528735176
231	0.1526732144
232	0.1522281085
233	0.1519740185
234	0.1517161323
235	0.1513145272
236	0.1510758064
237	0.1508391676
238	0.1506518045
239	0.1504203679
240	0.1501824436
241	0.149968274
242	0.1497874189
243	0.1495028238
244	0.1491772796
245	0.1488366043
246	0.1485992363
247	0.1484428509
248	0.1481202786
249	0.1477393251
250	0.147355598
251	0.1471242951
252	0.1467861638
253	0.1465782642
254	0.1461765714
255	0.1459147799
256	0.1456327053
257	0.1453607974
258	0.1451844488
259	0.1448701443
260	0.1446337829
261	0.1444200807
262	0.1441488083
263	0.1439025215
264	0.1436880809
265	0.1431670409
266	0.14293499
267	0.1427726958
268	0.1426296261
269	0.1424706148
270	0.1421762245
271	0.1418286889
272	0.1414381399
273	0.1412362092
274	0.1409455324
275	0.1407751668
276	0.1406697868
277	0.1404514014
278	0.1402778789
279	0.1401200567
280	0.1399552883
281	0.1396611267
282	0.1394049314
283	0.1391587908
284	0.1389216635
285	0.1386742788
286	0.138409928
287	0.1383149926
288	0.1380073701
289	0.137895818
290	0.1373335537
291	0.1368070069
292	0.1365342739
293	0.1363633739
294	0.1361025568
295	0.13600386
296	0.1353178064
297	0.135093331
298	0.1347199419
299	0.1343821149
300	0.1340379395
301	0.1336093047
302	0.1332324673
303	0.1328900395
304	0.132451618
305	0.1318536648
306	0.1316108729
307	0.1314894274
308	0.1312882318
309	0.1308699871
310	0.1307130938
311	0.1305092524
312	0.1303367901
313	0.130011154
314	0.1296834939
315	0.129329489
316	0.1291551348
317	0.1288219986
318	0.1285676447
319	0.1283545522
320	0.1281490348
321	0.1277905076
322	0.1274653411
323	0.1272880219
324	0.127149259
325	0.1266815492
326	0.126516499
327	0.1263901601
328	0.1261057135
329	0.125793615
330	0.1256938685
331	0.1256337725
332	0.1253947359
333	0.1251981139
334	0.1251213808
335	0.1248589786
336	0.1247285352
337	0.1245263974
338	0.1242004476
339	0.123934486
340	0.1237083109
341	0.1232998266
342	0.1232226466
343	0.1230695253
344	0.122830496
345	0.1226974576
346	0.1224980824
347	0.1223603671
348	0.1222373554
349	0.1221876353
350	0.1221454508
351	0.1220155648
352	0.1219548266
353	0.121795059
354	0.1215413024
355	0.1213106876
356	0.1208196255
357	0.1205341025
358	0.1203939555
359	0.1201558316
360	0.1198359856
361	0.119474066
362	0.1192252372
363	0.1190661858
364	0.1189579394
365	0.1188291847
366	0.1187490462
367	0.1184679623
368	0.1182214671
369	0.118135047
370	0.1180286052
371	0.1179467947
372	0.1177450917
373	0.1176688749
374	0.117557493
375	0.1174801236
376	0.1171444357
377	0.1169896747
378	0.1169161615
379	0.1168777697
380	0.1167454024
381	0.1163209327
382	0.1162554404
383	0.116203908
384	0.1161443143
385	0.1159070129
386	0.1158279865
387	0.1157055819
388	0.1154277291
389	0.1152631759
390	0.1150831157
391	0.1150088797
392	0.1143517647
393	0.1142463904
394	0.1141561865
395	0.1141117043
396	0.1138847825
397	0.1136624962
398	0.1134386683
399	0.1133597363
400	0.1133029114
401	0.1131239321
402	0.1130795672
403	0.113023622
404	0.1127233234
405	0.1126616532
406	0.1125800024
407	0.1125188129
408	0.1124405372
409	0.1123228263
410	0.1122589346
411	0.1122403997
412	0.1121348255
413	0.111937146
414	0.1117822768
415	0.1116748696
416	0.1116488767
417	0.1116183411
418	0.1115081352
419	0.1112559504
420	0.110979691
421	0.1108604861
422	0.1105364634
423	0.1104809647
424	0.1101505058
425	0.1099517777
426	0.1097157644
427	0.1095073079
428	0.1093950189
429	0.1093583542
430	0.1093317228
431	0.1092964168
432	0.1092067435
433	0.1091745711
434	0.1090977766
435	0.1089998013
436	0.1089496242
437	0.1088732537
438	0.1087416353
439	0.1085625113
440	0.1082902843
441	0.1082249252
442	0.1081857405
443	0.1081693933
444	0.1079214062
445	0.1077479904
446	0.1076047625
447	0.1075822859
448	0.1073831881
449	0.1072986973
450	0.107238321
451	0.1071949428
452	0.1071670036
453	0.107133546
454	0.1070410633
455	0.1069889994
456	0.1068885399
457	0.1068640121
458	0.1068415383
459	0.1067786528
460	0.1066532661
461	0.1065010753
