iter	Passed	Remaining
399	41974	62961
400	42075	62851
401	42179	62744
402	42280	62634
403	42380	62521
404	42482	62413
405	42592	62314
406	42704	62219
407	42811	62118
408	42916	62013
409	43024	61913
410	43135	61817
411	43251	61728
412	43351	61616
413	43451	61503
414	43550	61390
415	43650	61278
416	43750	61167
417	43852	61058
418	43962	60959
419	44082	60875
420	44195	60782
421	44307	60686
422	44417	60588
423	44520	60480
424	44627	60378
425	44745	60290
426	44852	60188
427	44959	60086
428	45074	59994
429	45187	59900
430	45297	59800
431	45402	59696
432	45506	59589
433	45611	59484
434	45718	59381
435	45823	59276
436	45926	59169
437	46028	59059
438	46129	58948
439	46236	58846
440	46343	58743
441	46445	58634
442	46547	58525
443	46651	58419
444	46754	58311
445	46855	58201
446	46958	58094
447	47058	57983
448	47161	57875
449	47263	57766
450	47364	57656
451	47467	57548
452	47567	57438
453	47668	57328
454	47769	57218
455	47873	57111
456	47975	57003
457	48079	56897
458	48182	56790
459	48286	56683
460	48390	56577
461	48494	56472
462	48598	56366
463	48702	56259
464	48808	56155
465	48909	56046
466	49011	55938
467	49114	55830
468	49214	55720
469	49316	55612
470	49419	55504
471	49525	55401
472	49628	55294
473	49731	55186
474	49838	55084
475	49938	54974
476	50042	54868
477	50148	54764
478	50248	54654
479	50349	54545
480	50450	54436
481	50550	54325
482	50651	54216
483	50753	54108
484	50853	53998
485	50954	53890
486	51057	53783
487	51158	53674
488	51259	53565
489	51363	53460
490	51466	53353
491	51569	53246
492	51677	53145
493	51789	53047
494	51896	52945
495	52004	52842
496	52104	52733
497	52203	52622
498	52302	52512
499	52410	52410
500	52526	52316
501	52635	52215
502	52744	52115
503	52848	52009
504	52955	51907
505	53061	51803
506	53166	51698
507	53273	51595
508	53377	51490
509	53482	51385
510	53587	51280
511	53696	51179
512	53801	51074
513	53906	50970
514	54010	50864
515	54118	50761
516	54223	50657
517	54328	50552
518	54431	50446
519	54533	50338
520	54635	50231
521	54747	50132
522	54848	50024
523	54949	49915
524	55054	49810
525	55155	49702
526	55259	49597
527	55360	49488
528	55461	49380
529	55564	49274
530	55666	49166
531	55768	49059
532	55868	48950
533	55975	48847
534	56079	48741
535	56181	48634
536	56280	48525
537	56383	48418
538	56491	48316
539	56593	48209
540	56697	48104
541	56801	47998
542	56909	47896
543	57010	47788
544	57118	47686
545	57218	47577
546	57330	47478
547	57470	47402
548	57582	47303
549	57690	47201
550	57804	47104
551	57939	47023
552	58077	46944
553	58197	46852
554	58306	46750
555	58420	46651
556	58544	46562
557	58650	46457
558	58754	46351
559	58859	46246
560	58972	46148
561	59084	46048
562	59191	45944
563	59312	45851
564	59415	45744
565	59520	45639
566	59631	45538
567	59743	45438
568	59848	45333
569	59958	45231
570	60064	45127
571	60165	45018
572	60267	44911
573	60369	44803
574	60472	44696
575	60576	44591
576	60679	44484
577	60783	44377
578	60884	44270
579	60986	44162
580	61089	44055
581	61192	43948
582	61295	43842
583	61404	43740
584	61513	43637
585	61615	43530
586	61718	43423
587	61821	43317
588	61924	43210
589	62030	43106
590	62140	43003
591	62251	42903
592	62359	42799
593	62466	42695
594	62569	42589
595	62673	42483
596	62781	42379
597	62889	42276
598	62993	42170
599	63098	42065
600	63202	41959
601	63313	41858
602	63424	41756
603	63528	41651
604	63637	41548
605	63739	41441
606	63842	41334
607	63947	41229
608	64053	41124
609	64155	41017
610	64258	40910
611	64361	40804
612	64462	40696
613	64565	40590
614	64676	40488
615	64776	40380
616	64879	40273
617	64983	40167
618	65102	40070
619	65224	39976
620	65334	39874
621	65442	39770
622	65559	39672
623	65671	39571
624	65783	39470
625	65895	39368
626	65999	39262
627	66099	39154
628	66206	39049
629	66310	38944
630	66411	38836
631	66511	38728
632	66611	38619
633	66728	38521
634	66954	38485
635	67085	38394
636	67199	38294
637	67321	38197
638	67478	38121
639	67621	38037
640	67733	37935
641	67846	37833
642	67957	37730
643	68082	37635
644	68225	37550
645	68341	37450
646	68453	37347
647	68558	37241
648	68662	37134
649	68769	37029
650	68871	36922
651	68975	36815
652	69085	36711
653	69202	36611
654	69305	36504
655	69409	36397
656	69513	36290
657	69617	36184
658	69723	36078
659	69830	35973
660	69934	35866
661	70041	35761
662	70146	35655
663	70250	35548
664	70353	35441
665	70457	35334
666	70562	35228
667	70666	35121
668	70773	35016
669	70876	34909
670	70980	34802
671	71084	34696
672	71189	34589
673	71369	34520
674	71493	34422
675	71599	34317
676	71701	34208
677	71803	34101
678	71905	33993
679	72013	33888
680	72121	33783
681	72225	33677
682	72328	33569
683	72430	33461
684	72534	33355
685	72644	33251
686	72751	33145
687	72854	33038
688	72956	32930
689	73059	32823
690	73167	32718
691	73280	32616
692	73393	32513
693	73505	32410
694	73617	32307
695	73729	32203
696	73839	32099
697	73946	31993
698	74050	31887
699	74151	31779
700	74260	31674
701	74363	31567
702	74465	31459
703	74568	31352
704	74673	31246
705	74774	31138
706	74876	31030
707	74976	30922
708	75084	30817
709	75190	30711
710	75293	30604
711	75396	30497
712	75507	30393
713	75626	30292
714	75736	30188
715	75845	30084
716	75950	29977
717	76051	29869
718	76183	29774
719	76291	29668
720	76434	29577
721	76569	29482
722	76688	29381
723	76793	29274
724	76899	29168
725	77009	29064
726	77117	28958
727	77227	28854
728	77329	28746
729	77429	28638
730	77528	28529
731	77629	28421
732	77729	28313
733	77830	28205
734	77938	28100
735	78049	27995
736	78156	27890
737	78257	27782
738	78363	27676
739	78470	27570
740	78579	27465
741	78684	27359
742	78791	27253
743	78900	27148
744	79011	27044
745	79117	26938
746	79228	26833
747	79338	26729
748	79447	26623
749	79554	26518
750	79658	26411
751	79758	26303
752	79859	26195
753	79961	26088
754	80062	25980
755	80162	25872
756	80261	25764
757	80361	25656
758	80463	25548
759	80565	25441
760	80665	25333
761	80766	25226
762	80868	25119
763	80979	25014
764	81088	24909
765	81194	24803
766	81294	24695
767	81397	24588
768	81498	24481
769	81606	24376
770	81718	24271
771	81826	24166
772	81929	24059
773	82039	23954
774	82147	23849
775	82252	23743
776	82365	23638
777	82469	23532
778	82573	23425
779	82678	23319
780	82782	23213
781	82885	23106
782	82994	23000
783	83099	22894
784	83203	22788
785	83309	22682
786	83413	22575
787	83516	22468
788	83615	22361
789	83716	22253
790	83816	22146
791	83917	22039
792	84021	21932
793	84124	21825
794	84232	21720
795	84340	21615
796	84451	21510
797	84561	21405
798	84670	21300
799	84780	21195
800	84889	21089
801	84999	20984
802	85110	20880
803	85219	20774
804	85330	20670
805	85442	20565
806	85549	20459
807	85665	20356
808	85775	20251
809	85879	20144
810	85983	20038
811	86085	19931
812	86185	19823
813	86285	19716
814	86386	19609
815	86490	19502
816	86599	19397
817	86709	19292
818	86817	19186
819	86922	19080
820	87030	18974
821	87133	18868
822	87241	18762
823	87347	18656
824	87459	18552
825	87562	18445
826	87669	18339
827	87772	18233
828	87881	18127
829	88002	18024
830	88118	17920
831	88225	17814
832	88334	17709
833	88445	17604
834	88558	17499
835	88668	17394
836	88776	17288
837	88885	17183
838	88991	17077
839	89102	16971
840	89211	16866
841	89319	16760
842	89428	16655
843	89531	16548
844	89642	16443
845	89752	16337
846	89860	16232
847	89969	16126
848	90076	16020
849	90180	15914
850	90286	15808
851	90392	15701
852	90497	15595
853	90601	15489
854	90710	15383
855	90815	15277
856	90922	15171
857	91029	15065
858	91132	14958
859	91236	14852
860	91340	14746
861	91447	14640
862	91549	14533
863	91653	14427
864	91760	14321
865	91864	14214
866	91968	14108
867	92076	14002
868	92185	13896
869	92287	13790
870	92387	13683
871	92490	13576
872	92591	13469
873	92693	13363
874	92795	13256
875	92904	13150
876	93014	13045
877	93124	12939
878	93234	12834
879	93343	12728
880	93452	12623
881	93559	12517
882	93672	12411
883	93782	12306
884	93891	12200
885	94004	12095
886	94113	11989
887	94223	11884
888	94331	11778
889	94441	11672
890	94551	11566
891	94660	11461
892	94762	11354
893	94863	11247
894	94963	11141
895	95071	11035
896	95173	10928
897	95279	10822
898	95380	10715
899	95482	10609
900	95582	10502
901	95685	10396
902	95788	10289
903	95889	10182
904	95989	10076
905	96089	9969
906	96189	9862
907	96294	9756
908	96394	9650
909	96501	9544
910	96601	9437
911	96701	9330
912	96802	9224
913	96904	9117
914	97011	9011
915	97112	8905
916	97212	8798
917	97312	8692
918	97413	8585
919	97513	8479
920	97614	8373
921	97719	8266
922	97825	8160
923	97930	8054
924	98034	7948
925	98141	7842
926	98243	7736
927	98344	7630
928	98450	7524
929	98557	7418
930	98661	7312
931	98766	7206
932	98875	7100
933	98980	6994
934	99082	6888
935	99183	6781
936	99284	6675
937	99386	6569
938	99486	6462
939	99588	6356
940	99693	6250
941	99795	6144
942	99896	6038
943	99996	5932
944	100104	5826
945	100205	5719
946	100306	5613
947	100407	5507
948	100508	5401
949	100609	5295
950	100709	5189
951	100810	5082
952	100912	4976
953	101013	4870
954	101114	4764
955	101216	4658
956	101318	4552
957	101420	4446
958	101521	4340
959	101630	4234
960	101738	4128
961	101849	4023
962	101957	3917
963	102068	3811
964	102176	3705
965	102286	3600
966	102396	3494
967	102505	3388
968	102613	3282
969	102715	3176
970	102816	3070
971	102922	2964
972	103035	2859
973	103143	2753
974	103253	2647
975	103363	2541
976	103472	2435
977	103582	2330
978	103692	2224
979	103801	2118
980	103910	2012
981	104020	1906
982	104131	1800
983	104240	1694
984	104342	1588
985	104444	1482
986	104546	1377
987	104653	1271
988	104763	1165
989	104879	1059
990	104987	953
991	105097	847
992	105206	741
993	105311	635
994	105419	529
995	105529	423
996	105630	317
997	105730	211
998	105833	105
999	105940	0
